sender.country,sender.city,sender.state,sender.latitude,sender.longitude,receiver.country,receiver.city,receiver.latitude,receiver.longitude,date,number.of.items,percent.of.all.items
USA,St Louis,MS,38.600423,-90.221624,DEU,Templin,53.116887,13.497969,1868-06-06,456,0.16807528003332017
USA,Mobile,AL,30.696441,-88.180356,DEU,Templin,53.116887,13.497969,1868-07-30,450,0.1658637631907765
USA,Mobile,AL,30.696441,-88.180356,DEU,Templin,53.116887,13.497969,1868-09-30,428,0.15775486810144965
USA,Laevenworth City,KA,39.311111,-94.922464,DEU,Templin,53.116887,13.497969,1868-11-11,461,0.16991821073543992
USA,St Louis,MS,38.600423,-90.221624,DEU,Templin,53.116887,13.497969,1869-07-11,521,0.1920333791608768
USA,Park County,KA,43.919952,-94.70262,DEU,Templin,53.116887,13.497969,1870-11-30,452,0.16660093547162438
USA,Lagrange,TN,35.136443,-89.302732,DEU,Templin,53.116887,13.497969,1875-02-12,435,0.16033497108441727
USA,Cairo,IL,37.005329,-89.176461,DEU,Templin,53.116887,13.497969,1875-03-25,448,0.1651265909099286
USA,Nashville,TN,36.162664,-86.781602,DEU,Templin,53.116887,13.497969,1875-07-12,471,0.1736040721396794
USA,Mobile,AL,30.696441,-88.180356,DEU,Templin,53.116887,13.497969,1875-10-04,410,0.15112031757381858
USA,Montgomery,AL,32.366805,-86.299969,DEU,Templin,53.116887,13.497969,1876-01-03,367,0.13527111353558882
USA,Conover,NC,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,1876-03-28,294,0.10836432528464064
USA,Conover,NC,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,1878-03-11,303,0.11168160054845618
USA,Conover,NC,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,1879-01-08,445,0.16402083248865676
USA,Conover,NC,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,1879-04-02,462,0.17028679687586387
USA,Conover,NC,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,1879-10-08,340,0.12531928774414225
USA,Conover,NC,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,1880-08-13,529,0.19498206828426837
USA,Conover,NC,35.706522,-81.218693,DEU,Templin,53.116887,13.497969,1910-06-25,441,0.16254648792696097
USA,Spokane,WA,47.65878,-117.426047,DEU,Langen,49.991466,8.663401,1936-01-24,547,0.20161661881189943
USA,Spokane,WA,47.65878,-117.426047,DEU,Munich,48.135125,11.581981,1936-06-10,430,0.15849204038229756
USA,Spokane,WA,47.65878,-117.426047,DEU,Munich,48.135125,11.581981,1936-08-02,496,0.1828187256502781
USA,Spokane,WA,47.65878,-117.426047,DEU,Munich,48.135125,11.581981,1936-10-05,348,0.12826797686753383
USA,Spokane,WA,47.65878,-117.426047,DEU,Munich,48.135125,11.581981,1936-11-12,475,0.1750784167013752
USA,Winona,MN,44.055391,-91.666352,DEU,Munich,48.135125,11.581981,1937-03-30,461,0.16991821073543992
