sender.country,sender.city,sender.state,sender.latitude,sender.longitude,receiver.country,receiver.city,receiver.state,receiver.latitude,receiver.longitude,date,number.of.items,percent.of.all.items
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-09-09,329,0.12126484019947882
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-09-21,439,0.16180931564611306
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-09-23,451,0.16623234933120046
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-10-02,398,0.1466972838887312
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-10-07,410,0.15112031757381858
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-10-15,252,0.09288370738683484
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-10-17,440,0.16217790178653702
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-10-17,326,0.12015908177820697
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-11-02,421,0.15517476511848202
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-11-10,441,0.16254648792696097
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-11-10,496,0.1828187256502781
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-11-16,509,0.18761034547578942
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-11-16,239,0.08809208756132351
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-11-19,259,0.09546381036980248
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-11-29,453,0.16696952161204834
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-12-06,451,0.16623234933120046
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-12-19,315,0.11610463423354354
DEU, Mockethal,NA,50.97178,13.960129,USA, New York ,NY,40.712784,-74.005941000000007,1915-12-21,400,0.14743445616957912
USA, St Louis ,MS,38.600423,-90.221624,DEU, Templin,NA,53.116887,13.497969,1868-06-06,456,0.16807528003332017
USA, Mobile ,AL,30.696441,-88.180356,DEU, Templin,NA,53.116887,13.497969,1868-07-30,450,0.1658637631907765
USA, Mobile ,AL,30.696441,-88.180356,DEU, Templin,NA,53.116887,13.497969,1868-09-30,428,0.15775486810144965
